query,success,total_time,num_steps,summary_length,error
What are people saying about AI?,True,56.55395436286926,4,3398,
Find discussions about Python programming,True,174.9844527244568,4,3424,
What topics are trending in tech discussions?,True,43.42353415489197,4,2507,
Show me posts about machine learning,True,23.448229789733887,4,2208,
What do people think about remote work?,True,94.60093688964844,4,3046,
Compare different opinions about AI replacing jobs,True,117.71632075309753,4,4504,
What are the main arguments for and against blockchain?,True,67.01898002624512,4,4523,
Analyze sentiment of discussions about startups,False,69.98213982582092,4,3248,
Find conflicting viewpoints on cloud computing,True,78.46194338798523,4,5507,
What are the key themes in data science discussions?,True,36.77524209022522,4,2931,
What were the main topics discussed last week?,True,21.012308359146118,4,1544,
How have opinions about AI changed over time?,True,23.919066429138184,4,3780,
Find recent discussions about cybersecurity,True,53.80435562133789,4,3866,
What do people think about Python vs JavaScript?,True,92.36157846450806,4,2503,
Find posts with conflicting opinions about remote work,False,20.887036323547363,4,1237,
What are the different perspectives on AI safety?,True,76.41970777511597,4,4565,
Who are the main people discussing AI?,True,64.59763145446777,4,1825,
What companies are mentioned in tech discussions?,True,35.3911247253418,4,1950,
Extract key topics from startup discussions,True,47.5577552318573,4,3677,
What's the sentiment around machine learning?,True,29.491133213043213,4,2616,
How do people feel about cloud computing?,True,30.415878534317017,4,2803,
Analyze sentiment of blockchain discussions,True,41.79065799713135,4,3565,
Summarize the main points from thread discussions,True,46.83092212677002,4,1992,
What are the key arguments in long threads?,True,82.25785064697266,4,4403,
Find and summarize evolving discussions,True,53.34277391433716,4,3109,
"Find discussions about AI, analyze sentiment, and extract key entities",True,51.269238233566284,4,3835,
Compare sentiment of Python vs JavaScript discussions,True,58.01933813095093,4,3431,
What are the main topics and their sentiment scores?,True,17.115264892578125,4,948,
Find conflicting information about remote work and summarize both sides,True,24.232945919036865,4,4731,
Analyze threads about startups and extract key insights,True,122.9834337234497,4,3671,
